"HostelName","City","StartingPrice","Distance","RatingScore","RatingBand","Atmosphere","Cleanliness","Facilities","Location","Security","Staff","ValueForMoney","lon","lat","Station","Dist_Station","lat_station","lng_station"
"Home Hostel Osaka","Osaka",2700,6.2,9.7,"Superb",8.7,9.9,10,9.7,9.9,9.7,9.7,135.5067813,34.65131483,"Dobutsuen-mae",0.392130375289456,34.6489686,135.5035809
"Homeikan","Tokyo",3600,6.3,9.3,"Superb",9.1,9.4,9.1,9.1,9.1,10,9.1,139.75625,35.711231,"Korakuen",0.49365837241506,35.7086514,139.7518001
"Hop Step Inn","Tokyo",1500,8.5,9.1,"Superb",8.5,9.6,9.3,8.3,9.6,9.4,9.2,139.7382791,35.7560182,"Oji",0.249553497601327,35.7537893,139.7379558
"Hostel & Cafe Bar Backpackers Miyajima","Hiroshima",2900,16.1,9.2,"Superb",9.2,9.3,9,9.2,9.1,9.6,8.9,132.3046213,34.3101872,"Koiki-koen-mae",16.4593749630888,34.4354518,132.4001697
"Hostel 64 Osaka","Osaka",2700,3.4,8.6,"Fabulous",8.2,8.6,8.2,8.1,9.1,9,8.6,135.4883418,34.6780282,"Nishi-Nagahori",0.33096044737865,34.6752108,135.4871747
"Hostel bedgasm","Tokyo",2900,9.5,9.6,"Superb",9.6,9.8,9.6,9.1,9.5,9.9,9.7,139.789033,35.72135,"Iriya",0.324117595926044,35.7215633,139.7854523
"Hostel Bushi","Osaka",1900,3.4,8.8,"Fabulous",8.5,8.8,8.9,8.6,8.8,9.2,8.9,135.5374497,34.6979324,"Kyobashi",0.351695000232426,34.6966897,135.5339121
"Hostel Chapter Two Tokyo","Tokyo",2700,9.8,10,"Superb",10,10,10,10,10,10,10,139.797217,35.709305,"Asakusa",0.180750662754252,35.71085336,139.7978265
"Hostel Chillout","Osaka",2300,4.3,9.6,"Superb",9.4,9.4,9.1,10,9.4,10,9.7,135.491819,34.66907615,"Sakuragawa",0.332871885022553,34.6684262,135.488266
"hostel DEN","Tokyo",2400,7.7,9.4,"Superb",9.1,9.7,9.3,9,9.7,9.7,9.4,139.7766966,35.6910315,"Kodemmacho",0.165120828524677,35.6913621,139.7784791
"Hostel Ebi","Kyoto",2500,1,9.7,"Superb",9.4,9.9,9.5,9.8,9.7,9.8,9.6,135.760511,35.0050582,"Shijo",0.3034046513903,35.0024081,135.7597178
"Hostel Ebisutei Souzou with Sake Bar","Osaka",2400,5.6,9.2,"Superb",9.7,9,9,9.5,8.3,9.6,9.4,135.5052993,34.6560531,"Ebisucho",0.126519461953163,34.6549385,135.5055773
"Hostel Enisia Namba","Osaka",3000,4.3,9.3,"Superb",8.7,9.2,9.3,10,9.5,9.3,9.2,135.503292,34.6681,"Nippombashi",0.287626053686434,34.6669677,135.5061197
"Hostel Ginkakuji","Kyoto",1300,2.7,4.9,"Rating",2,10,6,6,2,2,6,135.791229,35.027017,"Imadegawa",2.91857817940022,35.0298223,135.7593593
"Hostel HARUYA Kyoto","Kyoto",1500,1,9.6,"Superb",8,10,10,10,10,10,9,135.778964,35.008755,"Hyotan-yama",1.08377780534905,35.0037565,135.7687486
"HOSTEL HYAKU","Osaka",2700,4.4,9.5,"Superb",8.9,10,9.4,9.3,9.7,9.7,9.5,135.5109784,34.6676664,"Nippombashi",0.451090061253959,34.6669677,135.5061197
"Hostel J Culture 168","Osaka",3000,5.3,7.5,"Very Good",6.7,7.3,8.7,7.3,8,9.3,5.3,135.475656345539,34.748834611367,"Esaka",2.23714614668284,34.7586533,135.4970297
"Hostel Jin","Osaka",2500,4.3,9.6,"Superb",8.8,10,9.8,8.8,9.8,9.8,10,135.4661493,34.6810161,"Kujo",0.925531680628693,34.675207,135.4733981
"Hostel Kyoto Kizuna","Kyoto",1800,2.1,9.4,"Superb",8.6,9.9,9.5,9.2,9.6,9.6,9.6,135.7626527,34.9936138,"Gojo",0.335330379179963,34.9954343,135.7597179
"Hostel LnK (Lodging & Kin)","Osaka",3300,5.6,9.5,"Superb",9.2,10,9.3,9.5,9.3,9.5,9.5,135.502521,34.656382,"Ebisucho",0.322354317492284,34.6549385,135.5055773
"Hostel Mallika","Hiroshima",2500,0.7,9.3,"Superb",8.5,9.5,9.2,9.7,9.4,9.6,9.3,132.4499424,34.389848,"Hondori",0.758161033611349,34.3933943,132.4569995
"Hostel Mitsuwaya Osaka","Osaka",3200,4.1,9.6,"Superb",9.4,10,9.7,9.1,9.7,9.9,9.6,135.513379,34.670596,"Tanimachi Kyuchome",0.498743375425483,34.666639,135.5159468
"Hostel moku-moku","Osaka",3500,4,9.6,"Superb",9,10,10,9.5,10,9.5,9.5,135.516458,34.74071,"Awaji",0.157332881459975,34.7393654,135.5169941
"Hostel Mundo","Kyoto",1400,2.1,8.4,"Fabulous",8,8.6,8,8,8.7,8.9,8.8,135.7479461,35.0204264,"Marutamachi",1.14490606966844,35.016855,135.759738
"Hostel Mundo Chiquito","Kyoto",1400,1.4,9.5,"Superb",9,9.8,9.3,9,9.8,10,9.8,135.753339,35.015514,"Marutamachi",0.601516201146334,35.016855,135.759738
"Hostel Pumpkey Tokyo","Tokyo",3400,2.3,8.7,"Fabulous",8.3,9,8.5,9,8.7,9,8.3,139.716957,35.686319,"Yotsuya-sanchome",0.330944004053653,35.6877469,139.7201721
"Hostel Q","Osaka",2900,4.2,8.7,"Fabulous",9,7.3,8,9.7,9,9.3,8.3,135.4986093,34.6692633,"Yotsubashi",0.568410547761846,34.6741351,135.496727
"Hostel Rakutsuki","Osaka",1900,4.7,9.5,"Superb",9.3,9.5,8.7,9.8,9.8,9.8,9.8,135.5062517,34.6647159,"Nippombashi",0.250679589803165,34.6669677,135.5061197
"Hostel Teltel Bouzu","Osaka",2500,3.8,9,"Superb",9,9,9,8.3,9.3,9.3,9,135.5091721,34.6734621,"Nagahoribashi",0.282513540998653,34.6744602,135.5063311
"Hostel WAQWAQ Tokyo Ueno Asakusa","Tokyo",1600,9,8.9,"Fabulous",8.9,9.6,9,8.4,8.5,9,8.7,139.785178,35.717633,"Iriya",0.437730424288001,35.7215633,139.7854523
